,,,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income
Florida,Cancer,18+,2015,Percent,13%
Florida,Cancer,18+,2015,Num of persons,"545,840"
Florida,Cancer,18+,2016,Percent,13%
Florida,Cancer,18+,2016,Num of persons,"541,261"
Florida,Chronic kidney disease,18+,2013,Percent,5%
Florida,Chronic kidney disease,18+,2013,Num of persons,"235,157"
Florida,Chronic kidney disease,18+,2014,Percent,6%
Florida,Chronic kidney disease,18+,2014,Num of persons,"270,142"
Florida,Chronic kidney disease,18+,2015,Percent,4%
Florida,Chronic kidney disease,18+,2015,Num of persons,"169,489"
Florida,Chronic kidney disease,18+,2016,Percent,4%
Florida,Chronic kidney disease,18+,2016,Num of persons,"183,686"
Florida,COPD,18+,2013,Percent,11%
Florida,COPD,18+,2013,Num of persons,"521,472"
Florida,COPD,18+,2014,Percent,12%
Florida,COPD,18+,2014,Num of persons,"522,181"
Florida,COPD,18+,2015,Percent,12%
Florida,COPD,18+,2015,Num of persons,"503,218"
Florida,COPD,18+,2016,Percent,11%
Florida,COPD,18+,2016,Num of persons,"464,223"
Florida,Depression,18+,2013,Percent,24%
Florida,Depression,18+,2013,Num of persons,"1,110,538"
Florida,Depression,18+,2014,Percent,24%
Florida,Depression,18+,2014,Num of persons,"1,093,875"
Florida,Depression,18+,2015,Percent,25%
Florida,Depression,18+,2015,Num of persons,"1,044,523"
Florida,Depression,18+,2016,Percent,21%
Florida,Depression,18+,2016,Num of persons,"854,209"
Florida,Diabetes,18+,2013,Percent,15%
Florida,Diabetes,18+,2013,Num of persons,"696,092"
Florida,Diabetes,18+,2014,Percent,15%
Florida,Diabetes,18+,2014,Num of persons,"695,352"
Florida,Diabetes,18+,2015,Percent,16%
Florida,Diabetes,18+,2015,Num of persons,"681,577"
Florida,Diabetes,18+,2016,Percent,17%
Florida,Diabetes,18+,2016,Num of persons,"690,567"
Florida,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
Florida,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"340,366"
Florida,Pre-diabetes or borderline diabetes,18+,2014,Percent,8%
Florida,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"373,532"
Florida,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Florida,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"95,865"
Florida,Pre-diabetes or borderline diabetes,18+,2016,Percent,9%
Florida,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"380,563"
Florida,Heart disease (angina or CHD),18+,2013,Percent,7%
Florida,Heart disease (angina or CHD),18+,2013,Num of persons,"315,349"
Florida,Heart disease (angina or CHD),18+,2014,Percent,7%
Florida,Heart disease (angina or CHD),18+,2014,Num of persons,"310,448"
Florida,Heart disease (angina or CHD),18+,2015,Percent,7%
Florida,Heart disease (angina or CHD),18+,2015,Num of persons,"279,729"
Florida,Heart disease (angina or CHD),18+,2016,Percent,7%
Florida,Heart disease (angina or CHD),18+,2016,Num of persons,"286,155"
Florida,High cholesterol (among those tested),18+,2013,Percent,43%
Florida,High cholesterol (among those tested),18+,2013,Num of persons,"1,483,324"
Florida,High cholesterol (among those tested),18+,2014,Percent,NA
Florida,High cholesterol (among those tested),18+,2014,Num of persons,NA
Florida,High cholesterol (among those tested),18+,2015,Percent,42%
Florida,High cholesterol (among those tested),18+,2015,Num of persons,"1,319,596"
Florida,High cholesterol (among those tested),18+,2016,Percent,NA
Florida,High cholesterol (among those tested),18+,2016,Num of persons,NA
Florida,Hypertension,18+,2013,Percent,38%
Florida,Hypertension,18+,2013,Num of persons,"1,762,976"
Florida,Hypertension,18+,2014,Percent,NA
Florida,Hypertension,18+,2014,Num of persons,NA
Florida,Hypertension,18+,2015,Percent,39%
Florida,Hypertension,18+,2015,Num of persons,"1,617,806"
Florida,Hypertension,18+,2016,Percent,NA
Florida,Hypertension,18+,2016,Num of persons,NA
Georgia,Arthritis,18+,2013,Percent,30%
Georgia,Arthritis,18+,2013,Num of persons,"626,411"
Georgia,Arthritis,18+,2014,Percent,32%
Georgia,Arthritis,18+,2014,Num of persons,"687,988"
Georgia,Arthritis,18+,2015,Percent,32%
Georgia,Arthritis,18+,2015,Num of persons,"643,406"
Georgia,Arthritis,18+,2016,Percent,34%
Georgia,Arthritis,18+,2016,Num of persons,"686,183"
Georgia,Asthma (current),18+,2013,Percent,13%
Georgia,Asthma (current),18+,2013,Num of persons,"256,824"
Georgia,Asthma (current),18+,2014,Percent,12%
Georgia,Asthma (current),18+,2014,Num of persons,"267,061"
Georgia,Asthma (current),18+,2015,Percent,13%
Georgia,Asthma (current),18+,2015,Num of persons,"252,525"
Georgia,Asthma (current),18+,2016,Percent,11%
Georgia,Asthma (current),18+,2016,Num of persons,"232,441"
Georgia,Cancer,18+,2013,Percent,10%
Georgia,Cancer,18+,2013,Num of persons,"206,414"
Georgia,Cancer,18+,2014,Percent,11%
Georgia,Cancer,18+,2014,Num of persons,"244,230"
Georgia,Cancer,18+,2015,Percent,12%
Georgia,Cancer,18+,2015,Num of persons,"237,051"
Georgia,Cancer,18+,2016,Percent,10%
Georgia,Cancer,18+,2016,Num of persons,"197,161"
Georgia,Chronic kidney disease,18+,2013,Percent,4%
Georgia,Chronic kidney disease,18+,2013,Num of persons,"91,500"
Georgia,Chronic kidney disease,18+,2014,Percent,5%
Georgia,Chronic kidney disease,18+,2014,Num of persons,"110,761"
Georgia,Chronic kidney disease,18+,2015,Percent,4%
Georgia,Chronic kidney disease,18+,2015,Num of persons,"75,925"
Georgia,Chronic kidney disease,18+,2016,Percent,5%
Georgia,Chronic kidney disease,18+,2016,Num of persons,"107,006"
Georgia,COPD,18+,2013,Percent,12%
Georgia,COPD,18+,2013,Num of persons,"236,573"
Georgia,COPD,18+,2014,Percent,13%
Georgia,COPD,18+,2014,Num of persons,"282,132"
Georgia,COPD,18+,2015,Percent,12%
Georgia,COPD,18+,2015,Num of persons,"234,235"
Georgia,COPD,18+,2016,Percent,13%
Georgia,COPD,18+,2016,Num of persons,"272,154"
Georgia,Depression,18+,2013,Percent,26%
Georgia,Depression,18+,2013,Num of persons,"542,943"
Georgia,Depression,18+,2014,Percent,27%
Georgia,Depression,18+,2014,Num of persons,"593,643"
Georgia,Depression,18+,2015,Percent,27%
Georgia,Depression,18+,2015,Num of persons,"548,795"
Georgia,Depression,18+,2016,Percent,24%
Georgia,Depression,18+,2016,Num of persons,"491,327"
Georgia,Diabetes,18+,2013,Percent,13%
Georgia,Diabetes,18+,2013,Num of persons,"276,172"
Georgia,Diabetes,18+,2014,Percent,16%
Georgia,Diabetes,18+,2014,Num of persons,"349,230"
Georgia,Diabetes,18+,2015,Percent,16%
Georgia,Diabetes,18+,2015,Num of persons,"322,706"
Georgia,Diabetes,18+,2016,Percent,16%
Georgia,Diabetes,18+,2016,Num of persons,"324,482"
Georgia,Pre-diabetes or borderline diabetes,18+,2013,Percent,5%
Georgia,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"110,568"
Georgia,Pre-diabetes or borderline diabetes,18+,2014,Percent,8%
Georgia,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"179,130"
Georgia,Pre-diabetes or borderline diabetes,18+,2015,Percent,7%
Georgia,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"143,555"
Georgia,Pre-diabetes or borderline diabetes,18+,2016,Percent,2%
Georgia,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"43,465"
Georgia,Heart disease (angina or CHD),18+,2013,Percent,5%
Georgia,Heart disease (angina or CHD),18+,2013,Num of persons,"98,192"
Georgia,Heart disease (angina or CHD),18+,2014,Percent,6%
Georgia,Heart disease (angina or CHD),18+,2014,Num of persons,"121,478"
Georgia,Heart disease (angina or CHD),18+,2015,Percent,6%
Georgia,Heart disease (angina or CHD),18+,2015,Num of persons,"120,486"
Georgia,Heart disease (angina or CHD),18+,2016,Percent,6%
Georgia,Heart disease (angina or CHD),18+,2016,Num of persons,"122,375"
Georgia,High cholesterol (among those tested),18+,2013,Percent,44%
Georgia,High cholesterol (among those tested),18+,2013,Num of persons,"623,096"
Georgia,High cholesterol (among those tested),18+,2014,Percent,NA
Georgia,High cholesterol (among those tested),18+,2014,Num of persons,NA
Georgia,High cholesterol (among those tested),18+,2015,Percent,42%
Georgia,High cholesterol (among those tested),18+,2015,Num of persons,"598,282"
Georgia,High cholesterol (among those tested),18+,2016,Percent,NA
Georgia,High cholesterol (among those tested),18+,2016,Num of persons,NA
Georgia,Hypertension,18+,2013,Percent,39%
Georgia,Hypertension,18+,2013,Num of persons,"805,952"
Georgia,Hypertension,18+,2014,Percent,NA
Georgia,Hypertension,18+,2014,Num of persons,NA
Georgia,Hypertension,18+,2015,Percent,43%
Georgia,Hypertension,18+,2015,Num of persons,"873,864"
Georgia,Hypertension,18+,2016,Percent,NA
Georgia,Hypertension,18+,2016,Num of persons,NA
Hawaii,Arthritis,18+,2013,Percent,19%
Hawaii,Arthritis,18+,2013,Num of persons,"45,953"
Hawaii,Arthritis,18+,2014,Percent,21%
Hawaii,Arthritis,18+,2014,Num of persons,"52,443"
Hawaii,Arthritis,18+,2015,Percent,18%
Hawaii,Arthritis,18+,2015,Num of persons,"42,663"
Hawaii,Arthritis,18+,2016,Percent,26%
Hawaii,Arthritis,18+,2016,Num of persons,"61,049"
Hawaii,Asthma (current),18+,2013,Percent,13%
Hawaii,Asthma (current),18+,2013,Num of persons,"31,196"
Hawaii,Asthma (current),18+,2014,Percent,12%
Hawaii,Asthma (current),18+,2014,Num of persons,"30,195"
Hawaii,Asthma (current),18+,2015,Percent,13%
Hawaii,Asthma (current),18+,2015,Num of persons,"29,111"
Hawaii,Asthma (current),18+,2016,Percent,15%
Hawaii,Asthma (current),18+,2016,Num of persons,"33,766"
Hawaii,Cancer,18+,2013,Percent,8%
Hawaii,Cancer,18+,2013,Num of persons,"19,434"
Hawaii,Cancer,18+,2014,Percent,7%
Hawaii,Cancer,18+,2014,Num of persons,"17,595"
Hawaii,Cancer,18+,2015,Percent,8%
Hawaii,Cancer,18+,2015,Num of persons,"18,704"
Hawaii,Cancer,18+,2016,Percent,8%
Hawaii,Cancer,18+,2016,Num of persons,"19,572"
Hawaii,Chronic kidney disease,18+,2013,Percent,4%
Hawaii,Chronic kidney disease,18+,2013,Num of persons,"10,640"
Hawaii,Chronic kidney disease,18+,2014,Percent,5%
Hawaii,Chronic kidney disease,18+,2014,Num of persons,"12,435"
Hawaii,Chronic kidney disease,18+,2015,Percent,3%
Hawaii,Chronic kidney disease,18+,2015,Num of persons,"7,870"
Hawaii,Chronic kidney disease,18+,2016,Percent,5%
Hawaii,Chronic kidney disease,18+,2016,Num of persons,"11,026"
Hawaii,COPD,18+,2013,Percent,7%
Hawaii,COPD,18+,2013,Num of persons,"15,914"
Hawaii,COPD,18+,2014,Percent,7%
Hawaii,COPD,18+,2014,Num of persons,"16,945"
Hawaii,COPD,18+,2015,Percent,7%
Hawaii,COPD,18+,2015,Num of persons,"15,640"
Hawaii,COPD,18+,2016,Percent,6%
Hawaii,COPD,18+,2016,Num of persons,"14,541"
Hawaii,Depression,18+,2013,Percent,18%
Hawaii,Depression,18+,2013,Num of persons,"43,743"
Hawaii,Depression,18+,2014,Percent,15%
Hawaii,Depression,18+,2014,Num of persons,"37,296"
Hawaii,Depression,18+,2015,Percent,18%
Hawaii,Depression,18+,2015,Num of persons,"41,444"
Hawaii,Depression,18+,2016,Percent,21%
Hawaii,Depression,18+,2016,Num of persons,"48,669"
Hawaii,Diabetes,18+,2013,Percent,10%
Hawaii,Diabetes,18+,2013,Num of persons,"24,991"
Hawaii,Diabetes,18+,2014,Percent,12%
Hawaii,Diabetes,18+,2014,Num of persons,"29,751"
Hawaii,Diabetes,18+,2015,Percent,10%
Hawaii,Diabetes,18+,2015,Num of persons,"22,916"
Hawaii,Diabetes,18+,2016,Percent,14%
Hawaii,Diabetes,18+,2016,Num of persons,"32,348"
Hawaii,Pre-diabetes or borderline diabetes,18+,2013,Percent,11%
Hawaii,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"26,964"
Hawaii,Pre-diabetes or borderline diabetes,18+,2014,Percent,13%
Hawaii,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"33,062"
Hawaii,Pre-diabetes or borderline diabetes,18+,2015,Percent,3%
Hawaii,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"7,890"
Hawaii,Pre-diabetes or borderline diabetes,18+,2016,Percent,13%
Hawaii,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"30,940"
Hawaii,Heart disease (angina or CHD),18+,2013,Percent,3%
Hawaii,Heart disease (angina or CHD),18+,2013,Num of persons,"7,517"
Hawaii,Heart disease (angina or CHD),18+,2014,Percent,4%
Hawaii,Heart disease (angina or CHD),18+,2014,Num of persons,"9,666"
Hawaii,Heart disease (angina or CHD),18+,2015,Percent,3%
Hawaii,Heart disease (angina or CHD),18+,2015,Num of persons,"7,951"
Hawaii,Heart disease (angina or CHD),18+,2016,Percent,5%
Hawaii,Heart disease (angina or CHD),18+,2016,Num of persons,"10,985"
Hawaii,High cholesterol (among those tested),18+,2013,Percent,32%
Hawaii,High cholesterol (among those tested),18+,2013,Num of persons,"49,748"
Hawaii,High cholesterol (among those tested),18+,2014,Percent,NA
Hawaii,High cholesterol (among those tested),18+,2014,Num of persons,NA
Hawaii,High cholesterol (among those tested),18+,2015,Percent,33%
Hawaii,High cholesterol (among those tested),18+,2015,Num of persons,"49,910"
Hawaii,High cholesterol (among those tested),18+,2016,Percent,NA
Hawaii,High cholesterol (among those tested),18+,2016,Num of persons,NA
Hawaii,Hypertension,18+,2013,Percent,30%
Hawaii,Hypertension,18+,2013,Num of persons,"72,249"
Hawaii,Hypertension,18+,2014,Percent,NA
Hawaii,Hypertension,18+,2014,Num of persons,NA
Hawaii,Hypertension,18+,2015,Percent,30%
Hawaii,Hypertension,18+,2015,Num of persons,"70,438"
Hawaii,Hypertension,18+,2016,Percent,NA
Hawaii,Hypertension,18+,2016,Num of persons,NA
Iowa,Arthritis,18+,2013,Percent,30%
Iowa,Arthritis,18+,2013,Num of persons,"169,445"
Iowa,Arthritis,18+,2014,Percent,33%
Iowa,Arthritis,18+,2014,Num of persons,"162,831"
Iowa,Arthritis,18+,2015,Percent,36%
Iowa,Arthritis,18+,2015,Num of persons,"152,743"
Iowa,Arthritis,18+,2016,Percent,34%
Iowa,Arthritis,18+,2016,Num of persons,"150,124"
Iowa,Asthma (current),18+,2013,Percent,12%
Iowa,Asthma (current),18+,2013,Num of persons,"67,680"
Iowa,Asthma (current),18+,2014,Percent,13%
Iowa,Asthma (current),18+,2014,Num of persons,"62,540"
Iowa,Asthma (current),18+,2015,Percent,11%
Iowa,Asthma (current),18+,2015,Num of persons,"45,200"
Iowa,Asthma (current),18+,2016,Percent,14%
Iowa,Asthma (current),18+,2016,Num of persons,"62,808"
Iowa,Cancer,18+,2013,Percent,12%
Iowa,Cancer,18+,2013,Num of persons,"67,965"
Iowa,Cancer,18+,2014,Percent,12%
Iowa,Cancer,18+,2014,Num of persons,"58,657"
Iowa,Cancer,18+,2015,Percent,15%
Iowa,Cancer,18+,2015,Num of persons,"66,022"
Iowa,Cancer,18+,2016,Percent,14%
Iowa,Cancer,18+,2016,Num of persons,"61,025"
Iowa,Chronic kidney disease,18+,2013,Percent,3%
Iowa,Chronic kidney disease,18+,2013,Num of persons,"19,197"
Iowa,Chronic kidney disease,18+,2014,Percent,5%
Iowa,Chronic kidney disease,18+,2014,Num of persons,"23,648"
Iowa,Chronic kidney disease,18+,2015,Percent,4%
Iowa,Chronic kidney disease,18+,2015,Num of persons,"15,656"
Iowa,Chronic kidney disease,18+,2016,Percent,4%
Iowa,Chronic kidney disease,18+,2016,Num of persons,"16,198"
Iowa,COPD,18+,2013,Percent,12%
Iowa,COPD,18+,2013,Num of persons,"65,949"
Iowa,COPD,18+,2014,Percent,12%
Iowa,COPD,18+,2014,Num of persons,"59,405"
Iowa,COPD,18+,2015,Percent,12%
Iowa,COPD,18+,2015,Num of persons,"52,698"
Iowa,COPD,18+,2016,Percent,12%
Iowa,COPD,18+,2016,Num of persons,"53,541"
Iowa,Depression,18+,2013,Percent,29%
Iowa,Depression,18+,2013,Num of persons,"164,488"
Iowa,Depression,18+,2014,Percent,32%
Iowa,Depression,18+,2014,Num of persons,"155,382"
Iowa,Depression,18+,2015,Percent,29%
Iowa,Depression,18+,2015,Num of persons,"125,598"
Iowa,Depression,18+,2016,Percent,25%
Iowa,Depression,18+,2016,Num of persons,"111,696"
Iowa,Diabetes,18+,2013,Percent,15%
Iowa,Diabetes,18+,2013,Num of persons,"83,834"
Iowa,Diabetes,18+,2014,Percent,14%
Iowa,Diabetes,18+,2014,Num of persons,"67,371"
Iowa,Diabetes,18+,2015,Percent,14%
Iowa,Diabetes,18+,2015,Num of persons,"60,111"
Iowa,Diabetes,18+,2016,Percent,14%
Iowa,Diabetes,18+,2016,Num of persons,"62,989"
Iowa,Pre-diabetes or borderline diabetes,18+,2013,Percent,2%
Iowa,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"12,788"
Iowa,Pre-diabetes or borderline diabetes,18+,2014,Percent,2%
Iowa,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"9,759"
Iowa,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Iowa,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"7,370"
Iowa,Pre-diabetes or borderline diabetes,18+,2016,Percent,6%
Iowa,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"25,630"
Iowa,Heart disease (angina or CHD),18+,2013,Percent,7%
Iowa,Heart disease (angina or CHD),18+,2013,Num of persons,"37,757"
Iowa,Heart disease (angina or CHD),18+,2014,Percent,6%
Iowa,Heart disease (angina or CHD),18+,2014,Num of persons,"28,617"
Iowa,Heart disease (angina or CHD),18+,2015,Percent,6%
Iowa,Heart disease (angina or CHD),18+,2015,Num of persons,"25,409"
Iowa,Heart disease (angina or CHD),18+,2016,Percent,6%
Iowa,Heart disease (angina or CHD),18+,2016,Num of persons,"27,807"
Iowa,High cholesterol (among those tested),18+,2013,Percent,46%
Iowa,High cholesterol (among those tested),18+,2013,Num of persons,"179,008"
Iowa,High cholesterol (among those tested),18+,2014,Percent,NA
Iowa,High cholesterol (among those tested),18+,2014,Num of persons,NA
Iowa,High cholesterol (among those tested),18+,2015,Percent,39%
Iowa,High cholesterol (among those tested),18+,2015,Num of persons,"116,588"
Iowa,High cholesterol (among those tested),18+,2016,Percent,NA
Iowa,High cholesterol (among those tested),18+,2016,Num of persons,NA
Iowa,Hypertension,18+,2013,Percent,38%
Iowa,Hypertension,18+,2013,Num of persons,"212,004"
Iowa,Hypertension,18+,2014,Percent,NA
Iowa,Hypertension,18+,2014,Num of persons,NA
Iowa,Hypertension,18+,2015,Percent,37%
Iowa,Hypertension,18+,2015,Num of persons,"159,824"
Iowa,Hypertension,18+,2016,Percent,NA
Iowa,Hypertension,18+,2016,Num of persons,NA
Idaho,Arthritis,18+,2013,Percent,27%
Idaho,Arthritis,18+,2013,Num of persons,"88,131"
Idaho,Arthritis,18+,2014,Percent,29%
Idaho,Arthritis,18+,2014,Num of persons,"89,462"
Idaho,Arthritis,18+,2015,Percent,29%
Idaho,Arthritis,18+,2015,Num of persons,"83,525"
Idaho,Arthritis,18+,2016,Percent,34%
Idaho,Arthritis,18+,2016,Num of persons,"97,390"
Idaho,Asthma (current),18+,2013,Percent,10%
Idaho,Asthma (current),18+,2013,Num of persons,"34,523"
Idaho,Asthma (current),18+,2014,Percent,13%
Idaho,Asthma (current),18+,2014,Num of persons,"38,099"
Idaho,Asthma (current),18+,2015,Percent,12%
Idaho,Asthma (current),18+,2015,Num of persons,"33,488"
Idaho,Asthma (current),18+,2016,Percent,15%
Idaho,Asthma (current),18+,2016,Num of persons,"42,770"
Idaho,Cancer,18+,2013,Percent,12%
Idaho,Cancer,18+,2013,Num of persons,"40,955"
Idaho,Cancer,18+,2014,Percent,12%
Idaho,Cancer,18+,2014,Num of persons,"37,912"
Idaho,Cancer,18+,2015,Percent,12%
Idaho,Cancer,18+,2015,Num of persons,"35,002"
Idaho,Cancer,18+,2016,Percent,13%
Idaho,Cancer,18+,2016,Num of persons,"36,903"
Idaho,Chronic kidney disease,18+,2013,Percent,3%
Idaho,Chronic kidney disease,18+,2013,Num of persons,"8,986"
Idaho,Chronic kidney disease,18+,2014,Percent,4%
Idaho,Chronic kidney disease,18+,2014,Num of persons,"10,953"
Idaho,Chronic kidney disease,18+,2015,Percent,3%
Idaho,Chronic kidney disease,18+,2015,Num of persons,"7,933"
Idaho,Chronic kidney disease,18+,2016,Percent,3%
Idaho,Chronic kidney disease,18+,2016,Num of persons,"9,662"
Idaho,COPD,18+,2013,Percent,7%
Idaho,COPD,18+,2013,Num of persons,"22,214"
Idaho,COPD,18+,2014,Percent,7%
Idaho,COPD,18+,2014,Num of persons,"22,735"
Idaho,COPD,18+,2015,Percent,8%
Idaho,COPD,18+,2015,Num of persons,"21,662"
Idaho,COPD,18+,2016,Percent,11%
Idaho,COPD,18+,2016,Num of persons,"32,055"
Idaho,Depression,18+,2013,Percent,29%
Idaho,Depression,18+,2013,Num of persons,"97,224"
Idaho,Depression,18+,2014,Percent,27%
Idaho,Depression,18+,2014,Num of persons,"82,730"
Idaho,Depression,18+,2015,Percent,30%
Idaho,Depression,18+,2015,Num of persons,"87,078"
Idaho,Depression,18+,2016,Percent,26%
Idaho,Depression,18+,2016,Num of persons,"72,794"
Idaho,Diabetes,18+,2013,Percent,10%
Idaho,Diabetes,18+,2013,Num of persons,"33,606"
Idaho,Diabetes,18+,2014,Percent,10%
Idaho,Diabetes,18+,2014,Num of persons,"29,811"
Idaho,Diabetes,18+,2015,Percent,10%
Idaho,Diabetes,18+,2015,Num of persons,"29,958"
Idaho,Diabetes,18+,2016,Percent,15%
Idaho,Diabetes,18+,2016,Num of persons,"43,159"
Idaho,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
Idaho,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"23,267"
Idaho,Pre-diabetes or borderline diabetes,18+,2014,Percent,9%
Idaho,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"27,215"
Idaho,Pre-diabetes or borderline diabetes,18+,2015,Percent,1%
Idaho,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"3,758"
Idaho,Pre-diabetes or borderline diabetes,18+,2016,Percent,8%
Idaho,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"24,230"
Idaho,Heart disease (angina or CHD),18+,2013,Percent,4%
Idaho,Heart disease (angina or CHD),18+,2013,Num of persons,"14,855"
Idaho,Heart disease (angina or CHD),18+,2014,Percent,4%
Idaho,Heart disease (angina or CHD),18+,2014,Num of persons,"13,360"
Idaho,Heart disease (angina or CHD),18+,2015,Percent,3%
Idaho,Heart disease (angina or CHD),18+,2015,Num of persons,"9,361"
Idaho,Heart disease (angina or CHD),18+,2016,Percent,7%
Idaho,Heart disease (angina or CHD),18+,2016,Num of persons,"20,685"
Idaho,High cholesterol (among those tested),18+,2013,Percent,41%
Idaho,High cholesterol (among those tested),18+,2013,Num of persons,"82,295"
Idaho,High cholesterol (among those tested),18+,2014,Percent,NA
Idaho,High cholesterol (among those tested),18+,2014,Num of persons,NA
Idaho,High cholesterol (among those tested),18+,2015,Percent,40%
Idaho,High cholesterol (among those tested),18+,2015,Num of persons,"77,745"
Idaho,High cholesterol (among those tested),18+,2016,Percent,NA
Idaho,High cholesterol (among those tested),18+,2016,Num of persons,NA
Idaho,Hypertension,18+,2013,Percent,30%
Idaho,Hypertension,18+,2013,Num of persons,"98,163"
Idaho,Hypertension,18+,2014,Percent,NA
Idaho,Hypertension,18+,2014,Num of persons,NA
Idaho,Hypertension,18+,2015,Percent,34%
Idaho,Hypertension,18+,2015,Num of persons,"99,212"
Idaho,Hypertension,18+,2016,Percent,NA
Idaho,Hypertension,18+,2016,Num of persons,NA
Illinois,Arthritis,18+,2013,Percent,25%
Illinois,Arthritis,18+,2013,Num of persons,"650,087"
Illinois,Arthritis,18+,2014,Percent,27%
Illinois,Arthritis,18+,2014,Num of persons,"703,057"
Illinois,Arthritis,18+,2015,Percent,28%
Illinois,Arthritis,18+,2015,Num of persons,"677,560"
Illinois,Arthritis,18+,2016,Percent,30%
Illinois,Arthritis,18+,2016,Num of persons,"698,650"
Illinois,Asthma (current),18+,2013,Percent,7%
Illinois,Asthma (current),18+,2013,Num of persons,"190,369"
Illinois,Asthma (current),18+,2014,Percent,13%
Illinois,Asthma (current),18+,2014,Num of persons,"338,367"
Illinois,Asthma (current),18+,2015,Percent,9%
Illinois,Asthma (current),18+,2015,Num of persons,"216,237"
Illinois,Asthma (current),18+,2016,Percent,12%
Illinois,Asthma (current),18+,2016,Num of persons,"268,672"
Illinois,Cancer,18+,2013,Percent,9%
Illinois,Cancer,18+,2013,Num of persons,"229,175"
Illinois,Cancer,18+,2014,Percent,7%
Illinois,Cancer,18+,2014,Num of persons,"186,042"
Illinois,Cancer,18+,2015,Percent,10%
Illinois,Cancer,18+,2015,Num of persons,"226,568"
Illinois,Cancer,18+,2016,Percent,9%
Illinois,Cancer,18+,2016,Num of persons,"209,481"
Illinois,Chronic kidney disease,18+,2013,Percent,3%
Illinois,Chronic kidney disease,18+,2013,Num of persons,"85,162"
Illinois,Chronic kidney disease,18+,2014,Percent,4%
Illinois,Chronic kidney disease,18+,2014,Num of persons,"115,790"
Illinois,Chronic kidney disease,18+,2015,Percent,5%
Illinois,Chronic kidney disease,18+,2015,Num of persons,"120,405"
Illinois,Chronic kidney disease,18+,2016,Percent,6%
Illinois,Chronic kidney disease,18+,2016,Num of persons,"148,954"
Illinois,COPD,18+,2013,Percent,7%
Illinois,COPD,18+,2013,Num of persons,"184,370"
Illinois,COPD,18+,2014,Percent,9%
Illinois,COPD,18+,2014,Num of persons,"234,416"
Illinois,COPD,18+,2015,Percent,11%
Illinois,COPD,18+,2015,Num of persons,"255,483"
Illinois,COPD,18+,2016,Percent,11%
Illinois,COPD,18+,2016,Num of persons,"252,693"
Illinois,Depression,18+,2013,Percent,19%
Illinois,Depression,18+,2013,Num of persons,"479,670"
Illinois,Depression,18+,2014,Percent,26%
Illinois,Depression,18+,2014,Num of persons,"678,261"
Illinois,Depression,18+,2015,Percent,22%
Illinois,Depression,18+,2015,Num of persons,"511,777"
Illinois,Depression,18+,2016,Percent,23%
Illinois,Depression,18+,2016,Num of persons,"520,594"
Illinois,Diabetes,18+,2013,Percent,14%
Illinois,Diabetes,18+,2013,Num of persons,"353,684"
Illinois,Diabetes,18+,2014,Percent,16%
Illinois,Diabetes,18+,2014,Num of persons,"417,262"
Illinois,Diabetes,18+,2015,Percent,15%
Illinois,Diabetes,18+,2015,Num of persons,"365,136"
Illinois,Diabetes,18+,2016,Percent,15%
Illinois,Diabetes,18+,2016,Num of persons,"353,467"
Illinois,Pre-diabetes or borderline diabetes,18+,2013,Percent,6%
Illinois,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"156,184"
Illinois,Pre-diabetes or borderline diabetes,18+,2014,Percent,5%
Illinois,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"142,782"
Illinois,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Illinois,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"47,132"
Illinois,Pre-diabetes or borderline diabetes,18+,2016,Percent,8%
Illinois,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"174,273"
Illinois,Heart disease (angina or CHD),18+,2013,Percent,5%
Illinois,Heart disease (angina or CHD),18+,2013,Num of persons,"129,096"
